Dissemination Identifier,Original Dissemination Identifier,Action type,Event type,Event timestamp,Amendment indicator,Asset Class,Product name,Cleared,Mandatory clearing indicator,Execution Timestamp,Effective Date,Expiration Date,Maturity date of the underlier,Non-standardized term indicator,Platform identifier,Prime brokerage transaction indicator,Block trade election indicator,Large notional off-facility swap election indicator,Notional amount-Leg 1,Notional amount-Leg 2,Notional currency-Leg 1,Notional currency-Leg 2,Notional quantity-Leg 1,Notional quantity-Leg 2,Total notional quantity-Leg 1,Total notional quantity-Leg 2,Quantity frequency multiplier-Leg 1,Quantity frequency multiplier-Leg 2,Quantity unit of measure-Leg 1,Quantity unit of measure-Leg 2,Quantity frequency-Leg 1,Quantity frequency-Leg 2,Notional amount in effect on associated effective date-Leg 1,Notional amount in effect on associated effective date-Leg 2,Effective date of the notional amount-Leg 1,Effective date of the notional amount-Leg 2,End date of the notional amount-Leg 1,End date of the notional amount-Leg 2,Call amount-Leg 1,Call amount-Leg 2,Call currency-Leg 1,Call currency-Leg 2,Put amount-Leg 1,Put amount-Leg 2,Put currency-Leg 1,Put currency-Leg 2,Exchange rate,Exchange rate basis,First exercise date,Fixed rate-Leg 1,Fixed rate-Leg 2,Option Premium Amount,Option Premium Currency,Price,Price unit of measure,Spread-Leg 1,Spread-Leg 2,Spread currency-Leg 1,Spread currency-Leg 2,Strike Price,Strike price currency/currency pair,Post-priced swap indicator,Price currency,Price notation,Spread notation-Leg 1,Spread notation-Leg 2,Strike price notation,Fixed rate day count convention-leg 1,Fixed rate day count convention-leg 2,Floating rate day count convention-leg 1,Floating rate day count convention-leg 2,Floating rate reset frequency period-leg 1,Floating rate reset frequency period-leg 2,Floating rate reset frequency period multiplier-leg 1,Floating rate reset frequency period multiplier-leg 2,Other payment amount,Fixed rate payment frequency period-Leg 1,Floating rate payment frequency period-Leg 1,Fixed rate payment frequency period-Leg 2,Floating rate payment frequency period-Leg 2,Fixed rate payment frequency period multiplier-Leg 1,Floating rate payment frequency period multiplier-Leg 1,Fixed rate payment frequency period multiplier-Leg 2,Floating rate payment frequency period multiplier-Leg 2,Other payment type,Other payment currency,Settlement currency-Leg 1,Settlement currency-Leg 2,Settlement location-Leg 1,Settlement location-Leg 2,Collateralisation category,Custom basket indicator,Index factor,Underlier ID-Leg 1,Underlier ID-Leg 2,Underlier ID source-Leg 1,Underlying Asset Name,Underlying asset subtype or underlying contract subtype-Leg 1,Underlying asset subtype or underlying contract subtype-Leg 2,Embedded Option type,Option Type,Option Style,Package indicator,Package transaction price,Package transaction price currency,Package transaction price notation,Package transaction spread,Package transaction spread currency,Package transaction spread notation,Physical delivery location-Leg 1,Delivery Type
532021481,531422196.0,MODI,TRAD,2023-01-23T21:16:20Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-17T21:00:06Z,2021-12-17,2023-10-30,,False,BILT,,,,"480,000",,USD,,,,"30,000",,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,15.95365446,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
532023222,,NEWT,TRAD,2023-01-23T21:17:19Z,,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2023-01-23T20:24:35Z,2023-01-23,2024-11-25,,False,BILT,,,,"1,100",,USD,,,,360,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,3.0725352,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
532036514,531414212.0,MODI,TRAD,2023-01-23T21:22:51Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-02T20:59:44Z,2021-12-02,2026-05-28,,False,BILT,,,,"12,000",,USD,,,,690,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,17.36609479414,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
532647067,,NEWT,TRAD,2023-01-24T22:00:33Z,,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2023-01-24T22:00:33Z,2023-01-24,9999-12-31,,False,BILT,,,,"6,100","6,100",USD,USD,,,"1,800","1,802",,,SHAS,SHAS,,,,,,,,,,,,,,,,,,,,,,,,3.3964442366751,ACCY,,,,,,,False,USD,1.0,,,,,,,A004,,DAIL,,1.0,,,,,MNTH,,,,1.0,,,USD,USD,,,,False,,US0758961009,,ISIN,,,,OPET,,,False,,,,,,,,Cash
532588074,532023222.0,MODI,TRAD,2023-01-24T21:20:27Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2023-01-23T20:24:35Z,2023-01-23,2024-11-25,,False,BILT,,,,"2,500",,USD,,,,835,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,2.986746,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
532590532,532036514.0,MODI,TRAD,2023-01-24T21:21:29Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-02T20:59:44Z,2021-12-02,2026-05-28,,False,BILT,,,,"13,000",,USD,,,,710,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,18.30989071648,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
532590761,532021481.0,MODI,TRAD,2023-01-24T21:21:36Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-17T21:00:06Z,2021-12-17,2023-10-30,,False,BILT,,,,"480,000",,USD,,,,"30,000",,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,15.949355142,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
532601828,532590532.0,MODI,TRAD,2023-01-24T21:25:36Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-02T20:59:44Z,2021-12-02,2026-05-28,,False,BILT,,,,215,,USD,,,,10,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,17.91659780424,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
533195319,532601828.0,MODI,TRAD,2023-01-25T21:16:46Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-02T20:59:44Z,2021-12-02,2026-05-28,,False,BILT,,,,230,,USD,,,,15,,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,17.69229236382,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
533208721,532590761.0,MODI,TRAD,2023-01-25T21:23:17Z,True,EQ,Equity:PortfolioSwap:PriceReturnBasicPerformance:SingleName,N,,2021-12-17T21:00:06Z,2021-12-17,2023-10-30,,False,BILT,,,,"480,000",,USD,,,,"30,000",,,,SHAS,,,,,,,,,,,,,,,,,,,,,,,,,15.93613872,ACCY,,,,,,,False,USD,1.0,,,,,,,,,,,,,,,,,,,,,,,USD,,,,,False,,US0758961009,,ISIN,,,,,,,False,,,,,,,,Cash
